id,duration,credit_amount,installment_rate,residence_since,age,existing_credits,num_dependents,status_a12,status_a13,status_a14,credit_history_a31,credit_history_a32,credit_history_a33,credit_history_a34,purpose_a41,purpose_a410,purpose_a42,purpose_a43,purpose_a44,purpose_a45,purpose_a46,purpose_a48,purpose_a49,savings_a62,savings_a63,savings_a64,savings_a65,employment_a72,employment_a73,employment_a74,employment_a75,personal_status_a92,personal_status_a93,personal_status_a94,other_debtors_a102,other_debtors_a103,property_a122,property_a123,property_a124,other_installments_a142,other_installments_a143,housing_a152,housing_a153,job_a172,job_a173,job_a174,telephone_a192,foreign_worker_a202,class,random_noise
1,12,1108,4,3,28,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,,0.30471707975443135
2,24,11328,2,3,29,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,,-1.0399841062404955
3,30,2831,4,2,33,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,,0.7504511958064572
4,54,9436,2,2,39,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,,0.9405647163912139
5,20,4272,1,4,24,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,,-1.9510351886538364
6,18,2775,2,2,31,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,,-1.302179506862318
7,24,3105,4,2,25,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,,0.12784040316728537
8,21,3275,1,4,36,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,,-0.3162425923435822
9,18,2404,2,2,26,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,,-0.016801157504288795
10,18,1936,2,4,23,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,,-0.85304392757358
11,36,10875,2,2,45,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,,0.8793979748628286
12,10,2241,1,3,48,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,,0.7777919354289483
13,12,1412,4,2,29,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,,0.06603069756121605
14,12,1768,3,2,24,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,1.1272412069680329
15,48,10127,2,2,44,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,,0.4675093422520456
16,24,6314,4,2,27,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,,-0.8592924628832382
17,11,1322,4,4,40,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,,0.36875078408249884
